,##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
4,35,"35 Green,Da'Ja",*,30,3-16,2-9,0-0,0-4,4,3,7,3,0,0,8
5,10,"10 Booker,Cairo",*,27,2-7,1-2,3-6,0-2,2,2,4,4,1,3,8
6,32,"32 Harris,Alea",,14,2-5,2-3,0-0,0-0,0,1,0,2,0,2,6
7,02,"02 Lutz,Niyah",,17,1-5,1-3,2-2,0-4,4,1,1,1,0,0,5
8,21,"21 Tomlin,Alexis",,19,0-2,0-0,2-2,3-2,5,1,0,1,2,1,2
9,23,"23 Cook,Lawren",,6,1-2,0-0,0-0,2-1,3,1,1,0,0,0,2
10,11,"11 Turner,MaryMartha",,5,0-2,0-1,0-0,0-1,1,1,0,1,0,0,0
11,25,"25 Grob,Jamie",,4,0-0,0-0,0-0,0-0,0,2,0,1,0,0,0
12,20,"20 Pulanco,Elena",,2,0-0,0-0,0-0,0-0,0,0,2,0,0,0,0
13,TM,TM TEAM,,0,0-0,0-0,0-0,3-1,4,0,0,0,0,0,0
14,,Totals,-,200,22-69,11-31,9-12,17-25,42,17,17,17,4,12,64
1,12,"12 McDavid,Jamari",*,11,4-5,0-1,2-2,2-1,3,2,3,0,0,0,10
2,35,"35 Green,Da'Ja",*,12,3-4,3-4,0-0,1-1,2,0,3,0,0,2,9
3,14,"14 Hatton,Lilly",*,11,4-6,1-1,0-0,2-2,4,0,1,0,0,0,9
4,01,"01 Wanink,Chloe",*,12,2-8,2-5,0-0,1-1,2,1,0,0,0,0,6
5,10,"10 Booker,Cairo",*,8,2-5,0-1,2-2,0-2,2,2,0,0,0,2,6
6,02,"02 Lutz,Niyah",,25,5-16,2-8,0-0,1-7,8,0,2,0,0,2,12
7,23,"23 Cook,Lawren",,23,3-7,1-3,2-2,3-6,9,1,2,1,0,3,9
8,25,"25 Grob,Jamie",,21,4-8,0-0,1-2,6-0,6,1,0,1,0,1,9
9,32,"32 Harris,Alea",,30,3-12,2-6,0-2,1-1,2,0,3,0,0,3,8
10,11,"11 Turner,MaryMartha",,19,1-3,1-1,0-0,0-5,5,0,1,2,1,2,3
11,20,"20 Pulanco,Elena",,28,0-2,0-1,1-2,1-1,2,1,4,2,0,2,1
12,TM,TM TEAM,,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
13,,Totals,-,200,31-76,12-31,8-12,18-27,45,8,19,6,1,17,82
1,12,"12 McDavid,Jamari",*,29,6-13,0-1,5-5,5-2,7,2,0,2,0,2,17
2,01,"01 Wanink,Chloe",*,36,5-16,3-6,3-4,2-1,3,1,0,2,0,1,16
3,14,"14 Hatton,Lilly",*,24,2-7,0-2,0-0,3-6,9,5,0,0,2,0,4
4,35,"35 Green,Da'Ja",*,16,1-8,0-3,2-3,0-3,3,5,1,0,0,0,4
5,10,"10 Booker,Cairo",*,39,1-11,0-6,0-0,0-2,2,3,4,3,0,3,2
6,23,"23 Cook,Lawren",,11,3-3,0-0,3-4,0-1,1,4,0,0,0,1,9
7,32,"32 Harris,Alea",,18,1-4,0-2,0-0,0-0,0,0,1,0,1,0,2
8,21,"21 Tomlin,Alexis",,15,0-3,0-0,2-4,2-5,7,1,2,0,0,0,2
9,02,"02 Lutz,Niyah",,7,1-4,0-2,0-0,0-0,0,1,2,1,0,1,2
10,20,"20 Pulanco,Elena",,5,0-0,0-0,0-0,1-0,1,1,0,1,0,0,0
11,TM,TM TEAM,,0,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0
12,,Totals,-,200,20-69,3-22,15-20,13-20,33,23,10,10,3,8,58
1,01,01 Chloe Wanink,*,37,7-13,6-9,0-0,0-0,0,3,0,1,0,1,20
2,35,35 Da'Ja Green,*,40,5-17,3-8,2-3,2-1,3,1,9,0,0,1,15
3,14,14 Lilly Hatton,*,35,5-12,1-4,0-0,3-4,7,3,2,2,0,0,11
4,10,10 Cairo Booker,*,25,4-9,0-1,3-4,0-2,2,3,2,0,0,1,11
5,12,12 Jamari McDavid,*,11,1-2,0-0,0-0,0-1,1,5,0,0,0,0,2
6,23,23 Lawren Cook,,18,2-6,1-3,2-2,1-3,4,2,1,1,0,2,7
7,32,32 Alea Harris,,10,2-3,0-0,0-0,0-0,0,1,0,1,0,0,4
8,02,02 Niyah Lutz,,14,1-3,1-2,0-0,0-1,1,3,0,1,1,0,3
9,11,11 MaryMartha Turner,,5,1-2,0-0,1-1,1-0,1,0,0,0,0,0,3
10,21,21 Alexis Tomlin,,5,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
11,TM,TM TEAM,,0,0-0,0-0,0-0,4-1,5,0,0,0,0,0,0
12,,Totals,-,200,28-67,12-27,8-10,11-13,24,21,14,6,1,5,76
1,01,"01 Wanink,Chloe",*,28,6-13,3-8,0-0,1-2,3,0,2,0,0,2,15
2,12,"12 McDavid,Jamari",*,21,5-13,0-1,3-4,2-1,3,1,0,3,0,2,13
3,10,"10 Booker,Cairo",*,16,4-6,0-2,0-0,1-2,3,2,0,0,0,1,8
4,35,"35 Green,Da'Ja",*,29,3-6,1-3,0-0,0-7,7,0,5,0,0,1,7
5,14,"14 Hatton,Lilly",*,13,0-2,0-1,0-0,0-2,2,3,0,1,2,0,0
6,21,"21 Tomlin,Alexis",,17,3-5,0-0,3-4,2-2,4,2,1,0,0,0,9
7,02,"02 Lutz,Niyah",,22,3-7,1-3,1-2,2-3,5,1,1,1,0,1,8
8,23,"23 Cook,Lawren",,14,3-6,0-1,0-0,0-1,1,1,1,4,0,3,6
9,25,"25 Grob,Jamie",,11,1-4,0-0,2-2,1-1,2,1,0,0,0,0,4
10,32,"32 Harris,Alea",,11,1-1,1-1,0-0,0-2,2,2,0,0,0,0,3
11,11,"11 Turner,MaryMartha",,5,1-4,0-1,0-0,1-0,1,1,0,0,0,0,2
12,04,"04 Pulanco,Elena",,13,0-0,0-0,1-2,0-1,1,2,2,3,0,0,1
13,TM,TM TEAM,,0,0-0,0-0,0-0,3-1,4,0,0,0,0,0,0
14,,Totals,-,200,30-67,6-21,10-14,13-25,38,16,12,12,2,10,76
1,10,"10 Booker,Cairo",*,32,10-14,3-3,2-2,0-0,0,1,2,2,0,3,25
2,01,"01 Wanink,Chloe",*,34,7-9,5-6,0-0,0-2,2,2,3,2,0,2,19
3,35,"35 Green,Da'Ja",*,38,4-12,2-5,2-2,0-3,3,1,10,1,0,1,12
4,14,"14 Hatton,Lilly",*,28,5-7,0-1,1-4,3-7,10,1,0,0,2,0,11
5,12,"12 McDavid,Jamari",*,28,0-3,0-0,3-4,1-2,3,2,1,0,0,0,3
6,02,"02 Lutz,Niyah",,12,1-3,1-3,0-0,0-2,2,0,0,2,0,0,3
7,11,"11 Turner,MaryMartha",,2,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2
8,23,"23 Cook,Lawren",,10,0-2,0-1,1-2,0-4,4,0,0,0,1,0,1
9,21,"21 Tomlin,Alexis",,10,0-1,0-0,0-0,1-1,2,0,1,0,0,0,0
10,32,"32 Harris,Alea",,4,0-1,0-1,0-0,1-0,1,1,0,0,0,0,0
11,25,"25 Grob,Jamie",,2,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0
12,TM,TM TEAM,,0,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0
13,,Totals,-,200,28-54,11-20,9-14,6-21,27,8,17,8,3,6,76
1,35,"35 Green,Da'Ja",*,40,6-22,2-10,8-10,3-3,6,2,4,1,1,2,22
2,10,"10 Booker,Cairo",*,33,2-7,2-3,7-8,1-2,3,4,3,2,0,1,13
3,01,"01 Wanink,Chloe",*,37,5-9,2-6,0-0,0-2,2,1,1,1,0,2,12
4,12,"12 McDavid,Jamari",*,31,3-8,0-0,0-0,4-2,6,2,2,1,0,0,6
5,14,"14 Hatton,Lilly",*,27,2-5,0-1,0-0,4-2,6,5,1,1,3,1,4
6,21,"21 Tomlin,Alexis",,5,1-3,0-0,2-2,4-2,6,2,0,2,1,0,4
7,02,"02 Lutz,Niyah",,12,1-4,1-3,0-0,2-1,3,0,0,0,1,0,3
8,23,"23 Cook,Lawren",,9,1-1,0-0,0-2,1-2,3,0,0,0,0,0,2
9,25,"25 Grob,Jamie",,5,0-1,0-0,0-0,0-0,0,1,0,0,0,0,0
10,11,"11 Turner,MaryMartha",,1,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0
11,TM,TM TEAM,,0,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0
12,,Totals,-,200,21-60,7-23,17-22,19-16,35,18,11,9,6,6,66
1,01,"01 Wanink,Chloe",*,38,7-10,2-4,2-2,0-1,1,1,4,1,0,0,18
2,35,"35 Green,Da'Ja",*,40,4-15,1-5,2-2,2-3,5,0,4,1,0,0,11
3,10,"10 Booker,Cairo",*,29,4-10,1-3,2-2,0-5,5,4,4,2,0,1,11
4,12,"12 McDavid,Jamari",*,30,3-8,1-2,1-2,0-4,4,3,0,0,0,0,8
5,14,"14 Hatton,Lilly",*,24,2-5,0-0,0-0,2-1,3,4,0,0,3,1,4
6,21,"21 Tomlin,Alexis",,16,5-5,0-0,0-0,2-1,3,4,0,1,0,0,10
7,02,"02 Lutz,Niyah",,9,1-6,0-2,0-0,2-1,3,0,0,1,0,0,2
8,11,"11 Turner,MaryMartha",,6,1-1,0-0,0-0,0-0,0,1,0,0,0,0,2
9,23,"23 Cook,Lawren",,4,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
10,32,"32 Harris,Alea",,4,0-0,0-0,0-0,0-0,0,2,0,2,0,0,0
11,TM,TM TEAM,,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
12,,Totals,-,200,27-60,5-16,7-8,8-16,24,19,12,8,3,2,66
1,14,"14 Hatton,Lilly",*,27,6-10,2-3,0-0,3-9,12,4,0,3,0,1,14
2,12,"12 McDavid,Jamari",*,29,5-10,0-1,3-4,3-1,4,2,2,0,0,1,13
3,10,"10 Booker,Cairo",*,30,4-16,0-6,3-3,1-3,4,4,6,6,0,0,11
4,35,"35 Green,Da'Ja",*,37,3-12,0-3,2-5,1-4,5,2,4,1,0,1,8
5,01,"01 Wanink,Chloe",*,37,1-6,1-3,0-0,1-6,7,1,0,1,0,0,3
6,32,"32 Harris,Alea",,7,1-4,0-2,0-0,1-2,3,0,0,0,0,0,2
7,02,"02 Lutz,Niyah",,6,1-4,0-2,0-0,0-1,1,0,0,0,0,0,2
8,21,"21 Tomlin,Alexis",,13,0-2,0-0,0-0,3-1,4,0,0,1,0,1,0
9,11,"11 Turner,MaryMartha",,9,0-3,0-1,0-0,1-3,4,2,0,1,0,0,0
10,20,"20 Pulanco,Elena",,3,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0
11,23,"23 Cook,Lawren",,2,0-1,0-0,0-0,0-0,0,0,1,0,0,0,0
12,TM,TM TEAM,,0,0-0,0-0,0-0,3-4,7,0,0,2,0,0,0
13,,Totals,-,200,21-68,3-21,8-12,17-34,51,16,13,15,0,4,53
1,01,"01 Wanink,Chloe",*,40,5-8,5-6,4-4,1-4,5,0,1,0,0,1,19
2,14,"14 Hatton,Lilly",*,26,5-10,2-2,0-0,2-2,4,2,0,1,0,0,12
3,12,"12 McDavid,Jamari",*,27,5-9,0-1,0-0,2-4,6,1,1,0,0,2,10
4,35,"35 Green,Da'Ja",*,40,3-14,1-6,2-2,0-6,6,0,7,1,0,1,9
5,10,"10 Booker,Cairo",*,28,3-8,2-3,1-2,0-1,1,3,4,2,0,0,9
6,21,"21 Tomlin,Alexis",,12,2-4,0-0,1-2,1-2,3,1,2,2,0,0,5
7,02,"02 Lutz,Niyah",,10,2-4,1-2,0-0,0-1,1,1,0,0,0,1,5
8,23,"23 Cook,Lawren",,9,0-1,0-1,0-0,1-1,2,1,0,0,0,0,0
9,11,"11 Turner,MaryMartha",,5,0-0,0-0,0-0,0-0,0,1,1,0,0,0,0
10,32,"32 Harris,Alea",,3,0-1,0-1,0-0,0-0,0,0,0,1,0,0,0
11,TM,TM TEAM,,0,0-0,0-0,0-0,4-3,7,0,0,0,0,0,0
12,,Totals,-,200,25-59,11-22,8-10,11-24,35,10,16,7,0,5,69
1,35,"35 Green,Da'Ja",*,35,8-16,4-7,4-4,1-2,3,1,1,1,0,1,24
2,12,"12 McDavid,Jamari",*,19,7-9,0-0,1-2,3-6,9,2,2,0,0,0,15
3,10,"10 Booker,Cairo",*,38,5-10,2-4,2-2,1-2,3,1,6,0,0,4,14
4,14,"14 Hatton,Lilly",*,27,2-9,0-1,6-6,3-1,4,3,3,1,0,0,10
5,01,"01 Wanink,Chloe",*,18,4-6,1-3,0-0,0-1,1,0,0,0,0,1,9
6,23,"23 Cook,Lawren",,17,3-6,0-1,2-2,0-2,2,1,1,2,0,0,8
7,02,"02 Lutz,Niyah",,18,2-2,0-0,2-2,2-5,7,1,1,0,0,0,6
8,21,"21 Tomlin,Alexis",,10,0-2,0-0,0-0,0-2,2,4,1,0,0,0,0
9,32,"32 Harris,Alea",,7,0-3,0-1,0-0,1-0,1,0,0,0,0,0,0
10,11,"11 Turner,MaryMartha",,6,0-2,0-0,0-0,1-2,3,0,0,1,0,0,0
11,25,"25 Grob,Jamie",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
12,20,"20 Pulanco,Elena",,2,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0
13,TM,TM TEAM,,0,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0
14,,Totals,-,200,31-66,7-17,17-18,12-23,35,13,15,6,0,6,86
1,02,"02 Lutz,Niyah",*,30,6-14,1-3,0-0,2-2,4,2,1,1,0,2,13
2,10,"10 Booker,Cairo",*,40,2-13,2-5,1-2,0-2,2,2,1,1,0,5,7
3,35,"35 Green,Da'Ja",*,40,2-15,1-6,2-2,2-3,5,1,4,1,0,1,7
4,23,"23 Cook,Lawren",*,27,2-5,1-2,2-2,1-4,5,3,0,1,0,2,7
5,25,"25 Grob,Jamie",*,15,1-3,0-0,1-2,2-1,3,2,1,0,0,0,3
6,14,"14 Hatton,Lilly",,21,2-5,1-1,0-0,1-5,6,3,0,1,0,0,5
7,11,"11 Turner,MaryMartha",,13,2-4,1-2,0-0,0-4,4,1,0,2,1,0,5
8,21,"21 Tomlin,Alexis",,4,0-1,0-0,2-2,2-0,2,3,0,2,0,1,2
9,32,"32 Harris,Alea",,10,0-1,0-1,0-0,0-1,1,0,0,0,0,0,0
10,04,"04 Pulanco,Elena",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
11,TM,TM TEAM,,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
12,,Totals,-,200,17-61,7-20,8-10,10-22,32,17,7,9,1,11,49
1,35,"35 Green,Da'Ja",*,40,4-10,1-5,2-3,3-1,4,1,1,2,0,2,11
2,02,"02 Lutz,Niyah",*,34,4-13,1-4,2-2,1-3,4,5,2,2,0,2,11
3,10,"10 Booker,Cairo",*,25,3-12,0-5,2-2,1-7,8,4,2,3,0,3,8
4,23,"23 Cook,Lawren",*,26,2-7,1-3,0-0,4-4,8,4,0,3,1,0,5
5,14,"14 Hatton,Lilly",*,21,1-5,0-2,0-0,4-2,6,2,0,0,1,1,2
6,21,"21 Tomlin,Alexis",,16,2-4,0-0,0-0,0-3,3,4,0,1,0,1,4
7,32,"32 Harris,Alea",,28,1-10,0-6,0-0,0-1,1,0,0,2,0,0,2
8,11,"11 Turner,MaryMartha",,3,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2
9,25,"25 Grob,Jamie",,6,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0
10,04,"04 Pulanco,Elena",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
11,TM,TM TEAM,,0,0-0,0-0,0-0,1-1,2,0,0,0,0,0,0
12,,Totals,-,200,18-62,3-25,6-7,14-22,36,21,5,13,2,9,45
1,02,"02 Lutz,Niyah",*,37,7-14,3-7,2-7,2-5,7,1,1,0,0,1,19
2,14,"14 Hatton,Lilly",*,35,7-15,0-1,4-4,3-5,8,2,0,2,0,0,18
3,35,"35 Green,Da'Ja",*,40,2-5,2-4,2-2,1-5,6,0,3,2,0,1,8
4,10,"10 Booker,Cairo",*,33,3-12,2-6,0-2,2-3,5,3,3,3,0,0,8
5,23,"23 Cook,Lawren",*,30,2-7,0-2,4-5,7-4,11,4,2,3,1,0,8
6,32,"32 Harris,Alea",,10,1-1,0-0,1-3,0-0,0,1,0,1,0,0,3
7,21,"21 Tomlin,Alexis",,11,0-2,0-0,1-2,2-1,3,0,1,0,1,0,1
8,04,"04 Pulanco,Elena",,4,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
9,TM,TM TEAM,,0,0-0,0-0,0-0,2-3,5,0,0,0,0,0,0
10,,Totals,-,200,22-56,7-20,14-25,19-26,45,11,10,11,2,2,65
1,35,35 Da'Ja Green,*,40,7-11,5-7,4-6,0-0,0,5,3,1,0,1,23
2,10,10 Cairo Booker,*,35,5-12,2-6,2-2,1-3,4,3,3,4,0,2,14
3,14,14 Lilly Hatton,*,28,3-5,2-4,0-1,2-6,8,4,0,2,2,2,8
4,23,23 Lawren Cook,*,23,2-6,0-2,3-4,1-5,6,3,1,2,0,0,7
5,02,02 Niyah Lutz,*,39,1-10,0-7,0-2,0-4,4,2,2,2,1,0,2
6,21,21 Alexis Tomlin,,18,1-2,0-0,0-0,0-1,1,2,0,1,0,1,2
7,12,12 Jamari McDavid,,16,0-1,0-0,0-0,1-1,2,2,0,1,0,0,0
8,32,32 Alea Harris,,1,0-1,0-1,0-0,0-0,0,1,0,0,0,0,0
9,04,04 Elena Pulanco,,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
10,TM,TM TEAM,,0,0-0,0-0,0-0,1-3,4,0,0,0,0,0,0
11,,Totals,-,200,19-48,9-27,9-15,6-23,29,22,9,13,3,6,56
